====================================================================================================
UNIT POSITIONS - ALL PALADINS (Front / Mid / Back)
====================================================================================================

Total Units: 263
Front: 97 | Mid: 75 | Back: 43

----------------------------------------------------------------------------------------------------
FRONT ROW UNITS
----------------------------------------------------------------------------------------------------
  2002 | Aysis           | Tank       | Physical   | 想
2214   | BeluBelu           | Mid      | Support    | Magical    | 魔
2215   | Sonia              | Front    | Attacker   | Physical   | 聖
2216   | Aruxar             | Mid      | Attacker   | Physical   | 水
2217   | Nephilia           | Mid      | Attacker   | Magical    | 水
2218   | Lugisis            | Back     | Support    | Magical    | 想
2219   | 【Crimson Courtesan】Ange | Mid      | Attacker   | Magical    | 火
2220   | ゲルディン              | Unknown  | Unknown    | Unknown    | 風
2221   | スーラ                | Unknown  | Unknown    | Unknown    | 風
2222   | キリエ                | Unknown  | Unknown    | Unknown    | 火
2223   | 【食欲の女戦士】ラウール＆クルール  | Unknown  | Unknown    | Unknown    | 火
2224   | ユラ                 | Unknown  | Unknown    | Unknown    | 水
2225   | 【困惑の花嫁】マグダレーナ      | Unknown  | Unknown    | Unknown    | 聖
2226   | 【日傘の花嫁】麗鬼          | Unknown  | Unknown    | Unknown    | 火
2227   | 【ボクっ娘の花嫁】メイニアス     | Unknown  | Unknown    | Unknown    | 風
2228   | 【疾風のくノ一】リン         | Unknown  | Unknown    | Unknown    | 想
2229   | ハニス                | Unknown  | Unknown    | Unknown    | 想
2230   | モーラン               | Unknown  | Unknown    | Unknown    | 聖
2231   | ツキナ                | Unknown  | Unknown    | Unknown    | 聖
2232   | 【エルロンの堅牢なる盾】ナターシャ  | Unknown  | Unknown    | Unknown    | 水
2233   | 【伝説の勇者】ジェミニ        | Unknown  | Unknown    | Unknown    | 聖
2234   | 【ビキニでタコ殴り】ギル       | Unknown  | Unknown    | Unknown    | 水
2235   | 【ビキニでお祝い】ヴィアトリーチェ  | Unknown  | Unknown    | Unknown    | 火
2236   | 【たまにはビキニで】リネット     | Unknown  | Unknown    | Unknown    | 火
2237   | 【捕縛杖の聖騎士】カティーシャ    | Unknown  | Unknown    | Unknown    | 聖
2238   | 【稀代の発明家】パステル       | Unknown  | Unknown    | Unknown    | 風
2239   | 【牛乳娘】累＆鵺           | Unknown  | Unknown    | Unknown    | 魔
2240   | ラスウェル              | Unknown  | Unknown    | Unknown    | 魔
2241   | 【箱入り浴衣娘】ルールー       | Unknown  | Unknown    | Unknown    | 火
2242   | 【ゴージャスでノーブルな浴衣娘】グレイシー | Unknown  | Unknown    | Unknown    | 水
2243   | 【長乳の浴衣娘】ルイーズ       | Unknown  | Unknown    | Unknown    | 水
2244   | 【跳躍する天使】リュッカ       | Unknown  | Unknown    | Unknown    | 聖
2245   | メルフィス              | Unknown  | Unknown    | Unknown    | 聖
2246   | 【ハミ乳オーバーオール】シャリク   | Unknown  | Unknown    | Unknown    | 風
2247   | 【妖魔を狩る者】ラーグエン      | Unknown  | Unknown    | Unknown    | 魔
2248   | 【母乳の皇妃】ロクサーヌ       | Unknown  | Unknown    | Unknown    | 聖
2249   | 【目覚めし雷槍】テレシア       | Unknown  | Unknown    | Unknown    | 想
2250   | 【天翼のチャイナ娘】ラフィーネ    | Unknown  | Unknown    | Unknown    | 聖
2251   | 【ミルキーバニー】エレイン      | Unknown  | Unknown    | Unknown    | 魔
2252   | 【流浪の剣客】サーカ         | Unknown  | Unknown    | Unknown    | 風
2253   | リュシル               | Unknown  | Unknown    | Unknown    | 水
2254   | アガト                | Unknown  | Unknown    | Unknown    | 魔
2255   | セクネト               | Unknown  | Unknown    | Unknown    | 聖
2256   | ペトラギルス             | Unknown  | Unknown    | Unknown    | 風
2257   | 【超乳エリート指揮官】カティーシャ  | Unknown  | Unknown    | Unknown    | 想
2258   | 【爆乳の黒猫】厄叉          | Unknown  | Unknown    | Unknown    | 想
2259   | 【ノルンの悪魔】ハニス        | Unknown  | Unknown    | Unknown    | 火
2260   | 【護衛の吸血鬼】インリーン      | Unknown  | Unknown    | Unknown    | 魔
2261   | 【スイカ、一刀両断っ!!】ヒサラ   | Unknown  | Unknown    | Unknown    | 想
2262   | 【爆乳武闘家】ルイーズ        | Unknown  | Unknown    | Unknown    | 風
2263   | 【うし乳娘】メルフィス        | Unknown  | Unknown    | Unknown    | 聖
2264   | 【うし乳娘】ベガリア         | Unknown  | Unknown    | Unknown    | 魔
2265   | 【恵みの花籠】黒騎士         | Unknown  | Unknown    | Unknown    | 魔
2266   | 【聖乳ウェイトレス】モーラン     | Unknown  | Unknown    | Unknown    | 水
2267   | 【花のビアガール】リン        | Unknown  | Unknown    | Unknown    | 水
